Id,Username,Age,Skin_Description,Date,Rating,Review
32,ayurin34,19 - 24,"Combination, Medium, Neutral",08 Dec 2024,4,"Micellar Water yang affordable serta Membersihkan makeup, kotoran, dan sunscreen. Mengurangi munculnya bintik hitam, hiperpigmentasi, dan warna kulit tidak merata Memperbaiki tekstur kulit dan memperkecil pori-pori, Memperkuat fungsi pelindung kulit, Membersihkan dan menghidrasi kulit tanpa membuatnya kering. Dan cocok buat semua jenis kulit"
33,sriyatun01,40 - 44,"Combination, Light, Cool",08 Dec 2024,5,"kemampuannya membersihkan wajah secara efektif tanpa perlu dibilas. Produk ini mengandung micelles, molekul kecil yang bekerja seperti magnet untuk menarik kotoran, minyak, dan makeup dari kulit, tanpa menyebabkan iritasi atau kekeringan. Micellar water umumnya sangat lembut, membuatnya ideal untuk kulit sensitif, dan cocok digunakan oleh berbagai jenis kulit, termasuk kulit berminyak dan kering."
34,rahmay1311,19 - 24,"Combination, Medium, Neutral",08 Dec 2024,4,"Micellar Water yang affordable serta Membersihkan makeup, kotoran, dan sunscreen. Mengurangi munculnya bintik hitam, hiperpigmentasi, dan warna kulit tidak merata Memperbaiki tekstur kulit dan memperkecil pori-pori, Memperkuat fungsi pelindung kulit, Membersihkan dan menghidrasi kulit tanpa membuatnya kering. Dan cocok buat semua jenis kulit"
35,putinurinnayah,19 - 24,"Dry, Medium, Neutral",08 Dec 2024,5,"aku suka banget pake produk ini! sesuai sama claimnya yang mencerahkan dan di aku sangat mencerahkan dalam beberapa bulan keliatan perubahannya, untuk ngebersihin make up juga gampang banget dan ga bikin kering!! aku selalu repurchase!"
36,abidaard,19 - 24,"Combination, Medium, Neutral",08 Dec 2024,5,"Saya pakai Pond's Micellar Water Vitamin. Kulit saya kombinasi. Produk ini bagus banget buat ngebersihin makeup sehari-hari, nggak perlu banyak kapas. Kulit jadi terasa bersih dan segar. Cuma, kalau lagi pakai makeup waterproof agak kurang efektif."
37,kesyaaput,19 - 24,"Dry, Medium, Neutral",08 Dec 2024,5,"Micellar water ini sangat enteng saat dipakai ke muka dan langsung menyerap ke kulit, bisa langsung angkat make up secara instan dengan 1x swipe dan bisa memberi efek brighthening juga pokoknya the best harganya juga sesuai kantong kita dengan sizenya segini sangat worth it to buy girls"
38,xenia21,19 - 24,"Oily, Medium Light, Cool",08 Dec 2024,5,"Ini pertama kali nyobain pake merek ini tapi ke muka aku yang super sensitif super aman, kayaknya bakal beli lagii, dati harga juga ramah banget dikantong, dan ringan banget buat mukaa, makasih banyak female daily udah kenalin produk inii"
39,mchl31,19 - 24,",19 - 24",08 Dec 2024,5,"Beneran bagus banget ponds, aku suka banget sama ponds varian ini. Wanginya harum tidak menyengat dan tidak bikin keset bikin cerah selain itu varian ini juga bikin kita fresh dan tampak muda ,saya rekomended ke temen temen saya untuk pakai"
40,ulayy,19 - 24,"Combination, Medium, Warm",08 Dec 2024,5,Sukaaaa banget sama ini. Bersih ngangkat kotoran. Nggak bikin kulit kering. Aman buat semua jenis kulit. Bikin lembab tapi juga bersih. Cukup pakai 2 kapas langsung bersih total. Di muka berjerawat aman banget. Udah repurchase beeerrrkali-kali
41,faradhika,25 - 29,"Combination, Medium Light, Cool",08 Dec 2024,5,"bisa di dapatkan di e-commerce, shopee, tokopedia, offline store, alfamart, indomart, ukurannya juga pas untuk sebulan sehingga bisa hemat untuk pelajarharganya murah, cocok untuk kulit berminyak, cocok untuk menghilangkan minyak,"
42,Sulist22,40 - 44,"Combination, Medium, Neutral",08 Dec 2024,5,"Suka banget Waktu pertama pake produk ini, cocok dipakai semua jenis kulit dan usia, mamah saya juga pakai bahkan sampai nenek dan tetangga, Produk ini sangat ringan teksturnya aromanya juga bikin rilex, waktu favorite adalah waktubersih kan muka dengan PONDS"
43,Angginc_34,19 - 24,"Combination, Light, Neutral",08 Dec 2024,5,"Bagus di kulit dan cocok dimuka enak sekali, nyaman dipakai. Recommend buat pemula dan harganya worth it bgt pokoknya ponds wajib dibeli. Ringan dikulit, dikulit aku sejauh ini gak ada iritasi samsek dan nyaman sekali"
44,AmaliaAL2_,19 - 24,"Combination, Light, Neutral",08 Dec 2024,5,"Ponds micellar water brightening membantu untuk membersihkan make up setelah dipakai seharian, cocok dimukaku, tidak memberikan rasa gatal atau hal lain. setelah lebih dari 1 tahun pemakaian micellar water brightening ponds sangat membantuku"
45,khaltrn,19 - 24,"Dry, Medium, Neutral",08 Dec 2024,3,aku pernah pake produk iniii waktu ituuu tapi kayanya enggak cocok karena di aku itu perih banget but gatau siih yaaa kalo di orang lain gimanaaa tapi buat kulit yang sensitif mungkin bisa pilih pruduk yang lebih cocokkkk karenaini juga kan cocok cocokannn
46,mayditaulfa07,19 - 24,"Dry, Medium Dark, Warm",08 Dec 2024,5,Jangan lupa pakai produk ini bagus untuk kulit sensitifkulit kering kulit berminyak dan tidka membuat kulitiritasi bisa digunakan di setiap waktu dan tidaklengket di kulit jadi jangan lupa untuk membeli produkini di jamin bagus guys oke
47,ValarieSarah123,18 and Under,"Combination, Light, Neutral",08 Dec 2024,5,"Ukuran besar dan bagus ga fcepet abis aku pake tahan up to 6 bulan karena ukurannya gede Produk bagu ga lengket ukuran besar ga cepet abis wangi tahan lama bikin kulit lembab up to dua puluh empat jam ga lengket recommend to buy dan repurchase pastinya , ud pake lebih dari sepuluh jar dan bakal beli lagi karena bagus dan porduk koreaProduk bagu ga lengket ukuran besar ga cepet abis wangi tahan lama bikin kulit lembab up to dua puluh empat jam ga lengket recommend to buy dan repurchase pastinya , ud pake lebih dari sepuluh jar dan bakal beli lagi karena bagus dan porduk korea"
48,AfsahAlifiah,19 - 24,"Dry, Medium Light, Cool",08 Dec 2024,4,"Dengan kandungan niasorcinol, micellar water ini tidak hanya mengangkat makeup dan kotoran, tetapi juga membantu mencerahkan kulit. Kemasan yang ringan dan praktis membuatnya ideal untuk dibawa saat traveling. Pond's menawarkan solusi yang terjangkau dan efektif untuk berbagai masalah kulit"
49,novakarim,25 - 29,"Normal, Medium Light, Neutral",08 Dec 2024,4,ini bagis banget untuk kulit wajah sangatt sangat recomanded sih buat aku karena sangat ngaruh dikulit wajah aku kaliam juga harus cobain ringan dikulit dan enak dipakai sensasi dingimnya sangat enak dikulit sih menurut aku jadi sangat recom
50,felicianathania_,19 - 24,"Combination, Light, Cool",08 Dec 2024,5,"Selalu repurchase karena bagussss! walaupun beli nya waktu promo tapi kualitasnya gk murahan. Udah repurchase berkali"" tapi memang cocok banget di muka ku gk bikin breakout sama sekali. Mau coba varian yang lain juga selain yg rose....."
51,locitarubyjane,18 and Under,"Normal, Medium, Neutral",08 Dec 2024,5,"aku recommended banget buat yang mau ngebersihin muka terus mukanyaa langsung kinclong bener bener gada noda lagi, ini micaller waterter bagusss bagus banget buat muka, the best deh harganya juga murah murah banget terus juga langsungauto glowingdeh mukanya"
52,ZulfaNM_,19 - 24,"Combination, Medium Light, Neutral",08 Dec 2024,5,"POND'S Vitamin Micellar Water Brightening Rose adalah produk pembersih wajah yang diformulasikan untuk mengangkat makeup, kotoran, dan minyak berlebih dengan lembut. Produk ini mengandung *micelles* yang efektif membersihkan wajah tanpa perlu dibilas, menjadikannya praktis untuk digunakan sehari-hari. Keunggulan utama dari POND'S Micellar Water adalah kandungan Vitamin B3 dan ekstrak mawar yang membantu mencerahkan kulit dan menjaga kelembapannya. Dengan formula bebas alkohol, produk ini cocok untuk semua jenis kulit, termasuk kulit sensitif. Aromanya yang lembut dan segar juga menambah pengalaman pembersihan yang menyenangkan. Produk ini cukup efektif mengangkat makeup ringan hingga sedang, termasuk foundation, lipstik, dan bedak. Namun, untuk makeup tebal atau waterproof seperti maskara, pengguna mungkin memerlukan beberapa kali usapan untuk membersihkan sepenuhnya. Kelebihan lainnya adalah harganya yang terjangkau dan kemasannya yang praktis untuk dibawa bepergian. Namun, beberapa pengguna dengan kulit berminyak mengeluhkan rasa sedikit lengket setelah pemakaian. Secara keseluruhan, **POND'S Vitamin Micellar Water Brightening Rose** adalah pilihan yang baik untuk pembersih wajah sehari-hari dengan manfaat tambahan untuk mencerahkan kulit. Dengan formula lembut dan multifungsi, produk ini memberikan keseimbangan antara efektivitas pembersihan dan perawatan kulit."
53,claudyagbrla,18 and Under,"Combination, Medium Light, Neutral",08 Dec 2024,5,"Micellarnya bagus bersih sekali swipe makeup tebel langsung keangkat. Wanginyajuga oke dan enak. Ga bikin muka perih dan ketarikjuga pokoknya oke dehhh, kalian bisa cobainagak bikin cerah juga guys produknya. Bisa beli di Supermarket"
54,ekafriy,25 - 29,"Combination, Medium, Neutral",08 Dec 2024,5,"Ringan banget dipake, ngangkat semua kotoran diwajah. Wangi jg baunya enak. Ini bagus banget buat kalian yang wajah nya oily. Yu ikutan pake juga. Isinya jg banyak. Lumayan banget kan. Harga nya affordable juga tauu. Untuk kalian wajib coba sihhð«£"
55,lintangrizka,19 - 24,"Normal, Medium, Neutral",08 Dec 2024,4,saya suka sama mircelle water ini karena pas saya membersihkan muka saya setelahpulang pergi atau abis makaup jadi bersih dan pas saya bersihkan langsung bersih kinclongglowing banget pokoknya saya sangat suka smaa mircellewater ini jadi
56,raynerhar12,18 and Under,",18 and Under",08 Dec 2024,4,"ENAK BANGETT bener2 sensainya lembutt, Pondâs Micellar Water oke banget sih buat bersihin muka. Makeup langsung keangkat tanpa perlu gosok keras, plus rasanya ringan di kulit. Gak bikin lengket atau kering, jadi enak dipake sehari-hari. Simple tapi manjur, cocok buat yang suka skincare santai!"
57,nadiasabina,19 - 24,"Normal, Medium Light, Cool",08 Dec 2024,5,"Pond's Micellar Water adalah produk pembersih wajah yang dirancang untuk menghapus makeup dan kotoran dengan lembut. Mengandung micellar technology, produk ini bekerja seperti magnet untuk menarik kotoran dan minyak tanpa perlu dibilas atau disapu keras, sehingga cocok untuk kulit sensitif. Pond's Micellar Water hadir dalam beberapa varian, seperti untuk kulit kering, normal, dan berminyak, yang memberikan kelembapan dan kesegaran setelah digunakan.Keunggulannya adalah formulanya yang ringan, tidak lengket, dan cepat mengangkat sisa makeup serta kotoran tanpa mengiritasi kulit. Selain itu, produk ini juga memiliki kandungan yang membantu menjaga keseimbangan kelembapan kulit, membuatnya terasa lembut setelah pemakaian. Pond's Micellar Water sangat cocok untuk rutinitas skincare harian, terutama bagi mereka yang menginginkan pembersihan praktis dan efektif."
58,Aliyafizulkarnain24,19 - 24,"Combination, Medium, Neutral",08 Dec 2024,5,"Micellar Water Ponds adalah pembersih wajah yang efektif dan lembut, menghapus makeup dan kotoran tanpa perlu dibilas. Cocok untuk semua jenis kulit, termasuk sensitif, produk ini juga menutrisi dan menyegarkan kulit, menjadikannya pilihan praktis untuk rutinitas harian."
59,hanika,19 - 24,"Combination, Medium Light, Neutral",07 Dec 2024,5,"Super duper bikin jadi bersih poll, nyaman juga di kulit wajaih, dan cocok banget bener bener ga bikin iritasi. Dan beneran angkat kotorann sampe ke pori pori. Awal nya beli itu coba coba aja karena lagi promo ternyata emang beneran bagus polll"
60,MutiahAl,25 - 29,"Dry, Medium, Neutral",07 Dec 2024,5,"Ini micellar water yg murah banget dan praktis dibawa kemana2, bagus banget buat hapus make up meski harus 2 kali lah yaa di swapnya, tp karna murah ya worth it sii menurutku, lumayan kalo lagi tanggal tua, aman banget di dompet loh, mantap pokonya"
61,yosevphina,19 - 24,"Combination, Medium, Neutral",07 Dec 2024,4,Micellar water pond's baguss banget buat bersihin wajah dari make up seharian.. selain harganya murah kemasannya juga praktis banget buat dibawa kemana-mana dan aku sering pake micellar water ini sehabis aktivitas juga untuk ngangkat debu di wajah aku
62,Rachelputris_03,19 - 24,"Combination, Medium Light, Neutral",07 Dec 2024,5,"Bagus untuk muka-ku yang cukup sensitif dan langsung bersih dalam sekali penggunaan kapas! Worth to buy banget cocok buat segala jenis kulit, yang pasti gaakan cepet abis karena pemakaiannya lumayan irit!!! Must to buyy! Beli di booth jxb"
63,sitidahniar,19 - 24,"Dry, Medium Dark, Neutral",07 Dec 2024,5,"micelar wqter cocok buat kulit kering, dapat memberikan efek mencerahkan, dapat mengakat meke up yang waterprof dan dapat mengakat make up dengan sekali usap langsung bersih, sangat risngan dikulit, membersikan sangan efeiktif dan bagus"
64,agnes_siska,25 - 29,"Dry, Light, Cool",07 Dec 2024,4,"Micellar water paling ringan, berasa hydrate nya dan kdang kalo pake brand lain berasa suka panas atau kukit kering banget tapi kalo pake ini gak, berasa seger aja. Selain itu, bisa membersihkan menyeluruh banget jadi gaperlu double cleansing"
65,Rin06,30 - 34,"Combination, Medium Light, Neutral",07 Dec 2024,5,Percuma skincare mahal klo gak pernah pake micellar water sebelum cuci muka.Ini wajib dibeli karena suka promonya upto 50%.Jangan sampai kehabisan yaa promonya.Segera di beli di online yaaa.Harga murah kualitas oke punya.Jangan sampe ketinggalan
66,hadniay,19 - 24,"Oily, Medium, Neutral",07 Dec 2024,5,"BERSIHH BGTT BUAT MUKAA, SANGAT REKOMENDEDDD, DAN SANGATT WORTH ITT, sangat membatu membersihkan produkkk makeuppp dan cocok untuk semua jenis kulit tidak membuat kering kulitt dan sangatt sangat bagus sekaliii huaaaa , dah gabisa berkata2 lagi"
67,andivalencia,19 - 24,"Oily, Medium Light, Neutral",07 Dec 2024,5,"di antara semua produk micellar water yang pernah aku pake, ini paling ga perih di mata dan gampang buat ilangin sisa sisa make up bahkan kotoran wajah. baunya nggak nyengat dan ademin muka banget, pokoknya ponds paling oke deh buat micellar water"
68,Ajengps29,19 - 24,"Normal, Medium, Neutral",07 Dec 2024,5,"Pond's Micellar Water adalah pembersih wajah yang efektif menghapus makeup, kotoran, dan minyak berlebih. Diperkaya Vitamin Micelles, formulanya ringan, bebas alkohol, dan cocok untuk semua jenis kulit, termasuk sensitif. Dengan varian seperti Brightening Rose dan Hydrating Aloe Vera, produk ini membersihkan sekaligus menutrisi kulit. Praktis digunakan, mampu menghapus makeup waterproof, dan harganya terjangkau. Cocok untuk rutinitas harian Anda."
69,vvsanary_,19 - 24,"Oily, Medium, Neutral",07 Dec 2024,5,"Aku suka banget sama produknya soalnya saat aku coba cocok gitu sama kulit akuchh.... produk ini tuh bikin kulit aku lebih bagus dan tentunya bikin lebih glowing. aku recommend bangettttt produk iniiiiii bagi yang kulitnya mau glowingggg banget kayak aku, aku saranin cobain dehhh....."
70,silmilla,30 - 34,"Combination, Medium Light, Warm",07 Dec 2024,5,"Sukabagusbanget banget hapus makeup keren banget produknya bikin ketagihan pakenya dan bener"" bersih sekali membersihkan.. love it. Pokonya kalian harus beli sih jangan engga.. suka banget banget banget pokonya.. beli ya jangan engga. Ok ."
71,pipay24,25 - 29,"Combination, Medium Light, Warm",07 Dec 2024,5,"aku pake micellar water ini bagus banget, ga bikin perih juga dan nyaman banget di muka pokoknya rekomendasi banget deh harus banget cobain deh harganya juga murah banget dan udah bisa di dapetin di minimarket, watson dan juga offline store loh"
72,dedem,30 - 34,"Normal, Medium Light, Neutral",07 Dec 2024,5,Produk ini bagus untuk membersihkan wajah dari kotoran yang membandel dan dapat digunakan setiap hari dan mudah di cari dimana pun harganya juga sangat terjangkau cocok untuk semua jenis kulit bisa membuat wajah menjadi awet muda udah lama banget pake produk ini
73,ochans,19 - 24,"Normal, Medium, Cool",07 Dec 2024,5,"Bagus bangetttt micellar water nya, ga bikin kulit muka ketarik gitu, ngangkat debu dan sisa makeup mantap banget, dan ga bikin kulit jadi kering, ga perih juga di mata, muka langsung jadi seger banget abis pake ini, dan cocok buat kulit sensitif"
74,melza_Echa03,19 - 24,"Combination, Light, Neutral",07 Dec 2024,5,"Aku cocok banget pake ini kulit menjadi lebih cerah dan membersih kan kulit lebih cepat dari make up, buat kalian yang masih bingung mau cari micilar water aku saranin pake ini udah markotop banget nget nget wajib dan harus pake ini ya udah pasti ok"
75,firaika,25 - 29,"Oily, Medium Light, Neutral",07 Dec 2024,5,"Barang yang sangat di rekomendasi dan bagus, bisa digunakan untuk semua jenis kulit dan dapat digunakan di semua kalangan baik perempuan maupun laki-laki. Harga sangat terjangkau dan dapat di beli di manapun. Jangan sampai kehabisan ya"
76,rahmaidapm,19 - 24,"Combination, Medium Light, Warm",07 Dec 2024,5,"Salah satu micellar water favorit aku!!! Ga bikin wajah kering dan ketarik, tapi gak licin juga!! Biasanya micellar water kalo gak cuci muka lagi dia perih di mata, tapi ponds ini best banget aku sering gak cuci muka lagi dan aman banget, buat pemalas ini oke poll"
77,ghassanizachra,19 - 24,"Combination, Light, Neutral",07 Dec 2024,5,"bagus banget sih ini produk ter gong sejauh ini, brand ponds emang sudah terpercaya sih dari dulu, sumpah bagus banget banget ini produk gak bikin kering dan ngangkat make up banget jujur kalian yang misalkan maju munduf harus banget sih percaya produk inj bagus"
